"filename", "language", "JSON", "YAML", "JSON with Comments", "XML", "Markdown", "HTML", "TypeScript", "CSV", "Skill", "Python", "PowerShell", "Groovy", "JavaScript", "PostCSS", "C#", "ASP.NET Razor", "XAML", "comment", "blank", "total"
"d:\workshops\eShop\.github\skills\bmad-check-implementation-readiness\steps\step-02-prd-analysis.md", "Markdown", 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 169
"d:\workshops\eShop\.github\skills\bmad-check-implementation-readiness\steps\step-03-epic-coverage-validation.md", "Markdown", 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 170
"d:\workshops\eShop\.github\skills\bmad-check-implementation-readiness\steps\step-04-ux-alignment.md", "Markdown", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 130
"d:\workshops\eShop\.github\skills\bmad-check-implementation-readiness\steps\step-05-epic-quality-review.md", "Markdown", 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 242
"d:\workshops\eShop\.github\skills\bmad-check-implementation-readiness\steps\step-06-final-assessment.md", "Markdown", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 127
"d:\workshops\eShop\.github\skills\bmad-check-implementation-readiness\templates\readiness-report-template.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\workshops\eShop\.github\skills\bmad-check-implementation-readiness\workflow.md", "Markdown", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 50
"d:\workshops\eShop\.github\skills\bmad-cis-agent-brainstorming-coach\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 52
"d:\workshops\eShop\.github\skills\bmad-cis-agent-brainstorming-coach\bmad-skill-manifest.yaml", "YAML", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\workshops\eShop\.github\skills\bmad-cis-agent-creative-problem-solver\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 52
