Date : 2026-04-17 11:48:56
Directory : d:\workshops\eShop
Total : 3265 files,  566445 codes, 4850 comments, 198844 blanks, all 770139 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| _bmad\bmm\2-plan-workflows\bmad-create-ux-design (Files)                                                                                    |          3 |         35 |          1 |         22 |         58 |
| _bmad\bmm\2-plan-workflows\bmad-create-ux-design\steps                                                                                      |         15 |      2,162 |          0 |      1,100 |      3,262 |
| _bmad\bmm\2-plan-workflows\bmad-edit-prd                                                                                                    |          7 |        824 |          0 |        358 |      1,182 |
| _bmad\bmm\2-plan-workflows\bmad-edit-prd (Files)                                                                                            |          2 |         47 |          0 |         24 |         71 |
| _bmad\bmm\2-plan-workflows\bmad-edit-prd\steps-e                                                                                            |          5 |        777 |          0 |        334 |      1,111 |
| _bmad\bmm\2-plan-workflows\bmad-validate-prd                                                                                                |         19 |      2,369 |          0 |      1,012 |      3,381 |
| _bmad\bmm\2-plan-workflows\bmad-validate-prd (Files)                                                                                        |          2 |         47 |          0 |         23 |         70 |
| _bmad\bmm\2-plan-workflows\bmad-validate-prd\data                                                                                           |          3 |        163 |          0 |         61 |        224 |
| _bmad\bmm\2-plan-workflows\bmad-validate-prd\steps-v                                                                                        |         14 |      2,159 |          0 |        928 |      3,087 |
| _bmad\bmm\2-plan-workflows\create-prd                                                                                                       |         18 |      2,395 |          0 |      1,024 |      3,419 |
| _bmad\bmm\2-plan-workflows\create-prd (Files)                                                                                               |          1 |         45 |          0 |         21 |         66 |
| _bmad\bmm\2-plan-workflows\create-prd\data                                                                                                  |          3 |        163 |          0 |         61 |        224 |
| _bmad\bmm\2-plan-workflows\create-prd\steps-v                                                                                               |         14 |      2,187 |          0 |        942 |      3,129 |
| _bmad\bmm\3-solutioning                                                                                                                     |         38 |      3,612 |          4 |      1,828 |      5,444 |
| _bmad\bmm\3-solutioning\bmad-agent-architect                                                                                                |          2 |         44 |          0 |         21 |         65 |
| _bmad\bmm\3-solutioning\bmad-check-implementation-readiness                                                                                 |          9 |        695 |          0 |        385 |      1,080 |
| _bmad\bmm\3-solutioning\bmad-check-implementation-readiness (Files)                                                                         |          2 |         38 |          0 |         19 |         57 |
| _bmad\bmm\3-solutioning\bmad-check-implementation-readiness\steps                                                                           |          6 |        654 |          0 |        364 |      1,018 |
| _bmad\bmm\3-solutioning\bmad-check-implementation-readiness\templates                                                                       |          1 |          3 |          0 |          2 |          5 |
| _bmad\bmm\3-solutioning\bmad-create-architecture                                                                                            |         14 |      1,672 |          0 |        786 |      2,458 |
| _bmad\bmm\3-solutioning\bmad-create-architecture (Files)                                                                                    |          3 |         38 |          0 |         21 |         59 |
| _bmad\bmm\3-solutioning\bmad-create-architecture\data                                                                                       |          2 |         20 |          0 |          0 |         20 |
| _bmad\bmm\3-solutioning\bmad-create-architecture\steps                                                                                      |          9 |      1,614 |          0 |        765 |      2,379 |
| _bmad\bmm\3-solutioning\bmad-create-epics-and-stories                                                                                       |          7 |        644 |          4 |        332 |        980 |
| _bmad\bmm\3-solutioning\bmad-create-epics-and-stories (Files)                                                                               |          2 |         40 |          0 |         21 |         61 |
| _bmad\bmm\3-solutioning\bmad-create-epics-and-stories\steps                                                                                 |          4 |        573 |          0 |        284 |        857 |
| _bmad\bmm\3-solutioning\bmad-create-epics-and-stories\templates                                                                             |          1 |         31 |          4 |         27 |         62 |
| _bmad\bmm\3-solutioning\bmad-generate-project-context                                                                                       |          6 |        557 |          0 |        304 |        861 |
| _bmad\bmm\3-solutioning\bmad-generate-project-context (Files)                                                                               |          3 |         45 |          0 |         28 |         73 |
| _bmad\bmm\3-solutioning\bmad-generate-project-context\steps                                                                                 |          3 |        512 |          0 |        276 |        788 |
| _bmad\bmm\4-implementation                                                                                                                  |         45 |      3,747 |         89 |      1,545 |      5,381 |
| _bmad\bmm\4-implementation\bmad-agent-dev                                                                                                   |          2 |         52 |          0 |         23 |         75 |
| _bmad\bmm\4-implementation\bmad-agent-qa                                                                                                    |          2 |         48 |          0 |         24 |         72 |
| _bmad\bmm\4-implementation\bmad-agent-quick-flow-solo-dev                                                                                   |          2 |         43 |          0 |         21 |         64 |
| _bmad\bmm\4-implementation\bmad-agent-sm                                                                                                    |          2 |         45 |          0 |         21 |         66 |
| _bmad\bmm\4-implementation\bmad-code-review                                                                                                 |          6 |        223 |          0 |        118 |        341 |
| _bmad\bmm\4-implementation\bmad-code-review (Files)                                                                                         |          2 |         41 |          0 |         22 |         63 |
| _bmad\bmm\4-implementation\bmad-code-review\steps                                                                                           |          4 |        182 |          0 |         96 |        278 |
| _bmad\bmm\4-implementation\bmad-correct-course                                                                                              |          3 |        442 |          0 |        122 |        564 |
| _bmad\bmm\4-implementation\bmad-create-story                                                                                                |          5 |        636 |         18 |        231 |        885 |
| _bmad\bmm\4-implementation\bmad-dev-story                                                                                                   |          3 |        415 |         13 |        111 |        539 |
| _bmad\bmm\4-implementation\bmad-qa-generate-e2e-tests                                                                                       |          3 |        115 |          0 |         63 |        178 |
| _bmad\bmm\4-implementation\bmad-quick-dev                                                                                                   |          9 |        292 |         20 |        167 |        479 |
| _bmad\bmm\4-implementation\bmad-retrospective                                                                                               |          2 |        991 |          0 |        496 |      1,487 |
| _bmad\bmm\4-implementation\bmad-sprint-planning                                                                                             |          4 |        241 |         32 |         89 |        362 |
| _bmad\bmm\4-implementation\bmad-sprint-status                                                                                               |          2 |        204 |          6 |         59 |        269 |
| _bmad\cis                                                                                                                                   |         36 |      1,556 |          7 |        780 |      2,343 |
| _bmad\cis (Files)                                                                                                                           |          2 |         11 |          5 |          4 |         20 |
| _bmad\cis\skills                                                                                                                            |         34 |      1,545 |          2 |        776 |      2,323 |
| _bmad\cis\skills\bmad-cis-agent-brainstorming-coach                                                                                         |          2 |         43 |          0 |         21 |         64 |
| _bmad\cis\skills\bmad-cis-agent-creative-problem-solver                                                                                     |          2 |         43 |          0 |         21 |         64 |
| _bmad\cis\skills\bmad-cis-agent-design-thinking-coach                                                                                       |          2 |         44 |          0 |         21 |         65 |
| _bmad\cis\skills\bmad-cis-agent-innovation-strategist                                                                                       |          2 |         43 |          0 |         21 |         64 |
| _bmad\cis\skills\bmad-cis-agent-presentation-master                                                                                         |          2 |         54 |          0 |         21 |         75 |
| _bmad\cis\skills\bmad-cis-agent-storyteller                                                                                                 |          4 |         52 |          2 |         31 |         85 |
| _bmad\cis\skills\bmad-cis-design-thinking                                                                                                   |          5 |        264 |          0 |        130 |        394 |
| _bmad\cis\skills\bmad-cis-innovation-strategy                                                                                               |          5 |        362 |          0 |        183 |        545 |
| _bmad\cis\skills\bmad-cis-problem-solving                                                                                                   |          5 |        328 |          0 |        169 |        497 |
| _bmad\cis\skills\bmad-cis-storytelling                                                                                                      |          5 |        312 |          0 |        158 |        470 |
| _bmad\core                                                                                                                                  |         40 |      4,078 |        203 |      1,660 |      5,941 |
