"filename", "language", "JSON", "YAML", "censitive", "JSON with Comments", "XML", "PowerShell", "TypeScript", "Markdown", "Mermaid Radar", "C#", "PostCSS", "ASP.NET Razor", "XAML", "JavaScript", "HTML", "comment", "blank", "total"
"d:\workshops\eShop\src\Catalog.API\IntegrationEvents\ICatalogIntegrationEventService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\workshops\eShop\src\Catalog.API\Model\CatalogBrand.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"d:\workshops\eShop\src\Catalog.API\Model\CatalogItem.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 27, 28, 107
"d:\workshops\eShop\src\Catalog.API\Model\CatalogServices.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"d:\workshops\eShop\src\Catalog.API\Model\CatalogType.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"d:\workshops\eShop\src\Catalog.API\Model\PaginatedItems.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 15
"d:\workshops\eShop\src\Catalog.API\Model\PaginationRequest.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 4, 14
"d:\workshops\eShop\src\Catalog.API\Program.Testing.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 1, 7
"d:\workshops\eShop\src\Catalog.API\Program.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 24
"d:\workshops\eShop\src\Catalog.API\Properties\launchSettings.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"d:\workshops\eShop\src\Catalog.API\Services\CatalogAI.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 6, 18, 77
"d:\workshops\eShop\src\Catalog.API\Services\ICatalogAI.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 6, 19
"d:\workshops\eShop\src\Catalog.API\Setup\catalog.json", "JSON", 810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 811
"d:\workshops\eShop\src\Catalog.API\appsettings.Development.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\workshops\eShop\src\Catalog.API\appsettings.json", "JSON", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"d:\workshops\eShop\src\ClientApp\Animations\Base\AnimationBase.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 20, 112
"d:\workshops\eShop\src\ClientApp\Animations\Base\EasingType.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"d:\workshops\eShop\src\ClientApp\Animations\FadeToAnimation.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 34, 156
"d:\workshops\eShop\src\ClientApp\Animations\StoryBoard.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 9, 46
"d:\workshops\eShop\src\ClientApp\App.xaml", "XAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"d:\workshops\eShop\src\ClientApp\App.xaml.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 1, 27, 168
"d:\workshops\eShop\src\ClientApp\AppActions.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\workshops\eShop\src\ClientApp\AppShell.xaml", "XAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 5, 60
"d:\workshops\eShop\src\ClientApp\AppShell.xaml.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 1, 8, 39
"d:\workshops\eShop\src\ClientApp\ClientApp.csproj", "XML", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 18, 110
"d:\workshops\eShop\src\ClientApp\Controls\AddBasketButton.xaml", "XAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"d:\workshops\eShop\src\ClientApp\Controls\AddBasketButton.xaml.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"d:\workshops\eShop\src\ClientApp\Controls\CustomTabbedPage.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 7, 31
"d:\workshops\eShop\src\ClientApp\Controls\ToggleButton.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 28, 123
"d:\workshops\eShop\src\ClientApp\Converters\DoesNotHaveCountConverter.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"d:\workshops\eShop\src\ClientApp\Converters\DoubleConverter.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"d:\workshops\eShop\src\ClientApp\Converters\FirstValidationErrorConverter.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"d:\workshops\eShop\src\ClientApp\Converters\HasCountConverter.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"d:\workshops\eShop\src\ClientApp\Converters\ItemsToHeightConverter.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"d:\workshops\eShop\src\ClientApp\Converters\WebNavigatedEventArgsConverter.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"d:\workshops\eShop\src\ClientApp\Converters\WebNavigatingEventArgsConverter.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 5, 23
"d:\workshops\eShop\src\ClientApp\Effects\EntryLineColorEffect.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"d:\workshops\eShop\src\ClientApp\Effects\ThemeEffects.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 8, 50
"d:\workshops\eShop\src\ClientApp\Exceptions\ServiceAuthenticationException.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"d:\workshops\eShop\src\ClientApp\Extensions\DictionaryExtensions.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"d:\workshops\eShop\src\ClientApp\Extensions\ICommandExtensions.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"d:\workshops\eShop\src\ClientApp\Extensions\VisualElementExtensions.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 59, 86, 400
"d:\workshops\eShop\src\ClientApp\GlobalSuppressions.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 4, 3, 13
"d:\workshops\eShop\src\ClientApp\GlobalUsings.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\workshops\eShop\src\ClientApp\Helpers\EasingHelper.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
